Q.No,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Which branch of biology focuses on the study of plants?,Zoology,Botany,Microbiology,Anatomy,b
2,The study of animals is known as:,Botany,Microbiology,Zoology,Ecology,c
3,Who is considered the 'Father of Botany'?,Aristotle,Charles Darwin,Theophrastus,Gregor Mendel,c
4,Which branch of biology deals with the study of microorganisms?,Zoology,Botany,Microbiology,Ecology,c
5,The study of the structure of organisms and their parts is called:,Physiology,Anatomy,Genetics,Ecology,b
6,What is the study of the functions and processes of living organisms?,Anatomy,Physiology,Genetics,Ecology,b
7,The science of heredity and variation is known as:,Ecology,Evolution,Genetics,Anatomy,c
8,Who is known as the 'Father of Genetics'?,Charles Darwin,Aristotle,Gregor Mendel,Theophrastus,c
9,The study of the interactions between organisms and their environment is:,Genetics,Ecology,Evolution,Anatomy,b
10,Which branch of biology studies the changes in species over generations?,Ecology,Genetics,Evolution,Anatomy,c
11,The study of chemical processes within living organisms is:,Biophysics,Biochemistry,Cytology,Histology,b
12,Which branch uses principles of physics to study biological processes?,Biochemistry,Biophysics,Cytology,Histology,b
13,The study of cells is known as:,Histology,Cytology,Embryology,Taxonomy,b
14,What is the study of tissues called?,Cytology,Embryology,Histology,Taxonomy,c
15,The study of the development of an embryo is:,Histology,Cytology,Embryology,Taxonomy,c
16,Which branch deals with the classification of organisms?,Histology,Cytology,Embryology,Taxonomy,d
17,Who is considered the 'Father of Taxonomy'?,Charles Darwin,Aristotle,Carl Linnaeus,Gregor Mendel,c
18,The study of prehistoric life and fossils is:,Paleontology,Pathology,Pharmacology,Immunology,a
19,What is the study of the causes and effects of diseases?,Paleontology,Pathology,Pharmacology,Immunology,b
20,The study of the effects of drugs on living organisms is:,Paleontology,Pathology,Pharmacology,Immunology,c
21,Which branch studies the immune system?,Paleontology,Pathology,Pharmacology,Immunology,d
22,The study of marine organisms and ecosystems is:,Marine Biology,Biotechnology,Bioinformatics,Neurobiology,a
23,Which branch uses living systems to develop products?,Marine Biology,Biotechnology,Bioinformatics,Neurobiology,b
24,The application of computer science to biology is:,Marine Biology,Biotechnology,Bioinformatics,Neurobiology,c
25,What is the study of the nervous system?,Marine Biology,Biotechnology,Bioinformatics,Neurobiology,d
26,The study of the endocrine system and hormones is:,Neurobiology,Endocrinology,Mycology,Phycology,b
27,Which branch studies fungi?,Neurobiology,Endocrinology,Mycology,Phycology,c
28,The study of algae is known as:,Neurobiology,Endocrinology,Mycology,Phycology,d
29,What is the study of insects?,Entomology,Ornithology,Ichthyology,Herpetology,a
30,The study of birds is called:,Entomology,Ornithology,Ichthyology,Herpetology,b
31,Which branch studies fish?,Entomology,Ornithology,Ichthyology,Herpetology,c
32,The study of reptiles and amphibians is:,Entomology,Ornithology,Ichthyology,Herpetology,d
33,What is the study of mammals?,Mammalogy,Virology,Parasitology,Anthropology,a
34,The study of viruses is known as:,Mammalogy,Virology,Parasitology,Anthropology,b
35,Which branch studies parasites?,Mammalogy,Virology,Parasitology,Anthropology,c
36,"The study of humans, past and present, is:",Mammalogy,Virology,Parasitology,Anthropology,d
37,What is the science of crop production and soil management?,Agronomy,Forestry,Horticulture,Pomology,a
38,The science of managing forests and woodlands is:,Agronomy,Forestry,Horticulture,Pomology,b
39,"Which branch studies the growing of fruits, vegetables, and ornamental plants?",Agronomy,Forestry,Horticulture,Pomology,c
40,The science of growing fruits is:,Pomology,Olericulture,Floriculture,Nematology,a
41,What is the science of growing vegetables?,Pomology,Olericulture,Floriculture,Nematology,b
42,The science of growing ornamental plants is:,Pomology,Olericulture,Floriculture,Nematology,c
43,Which branch studies nematodes (roundworms)?,Nematology,Conchology,Malacology,Limonology,a
44,The study of shells is known as:,Nematology,Conchology,Malacology,Limonology,b
45,What is the study of mollusks?,Nematology,Conchology,Malacology,Limonology,c
46,The study of inland waters is:,Nematology,Conchology,Malacology,Limonology,d
47,Which branch studies the effects of low temperatures on living organisms?,Cryobiology,Gerontology,Toxicology,Ethology,a
48,The study of aging is called:,Cryobiology,Gerontology,Toxicology,Ethology,b
49,What is the study of the effects of poisons?,Cryobiology,Gerontology,Toxicology,Ethology,c
50,The study of animal behavior is:,Cryobiology,Gerontology,Toxicology,Ethology,d
51,Which branch studies the possibility of life beyond Earth?,Exobiology (Astrobiology),Molecular Biology,Systematics,Epidemiology,a
52,The study of macromolecules essential to life is:,Exobiology (Astrobiology),Molecular Biology,Systematics,Epidemiology,b
